iter	RMSE
0	2.039471485
1	1.984030419
2	1.935919939
3	1.889976049
4	1.840131297
5	1.794992608
6	1.746947012
7	1.705891107
8	1.667655164
9	1.62739274
10	1.588399068
11	1.550145042
12	1.512912742
13	1.478061368
14	1.446688738
15	1.417037746
16	1.386939026
17	1.35950544
18	1.332512058
19	1.30374958
20	1.276889735
21	1.253467908
22	1.230676013
23	1.208143665
24	1.186452392
25	1.167390361
26	1.148121668
27	1.12978133
28	1.112732728
29	1.097748
30	1.081187451
31	1.067105564
32	1.05425445
33	1.03869775
34	1.025804794
35	1.013640862
36	1.002305389
37	0.9911804669
38	0.980745852
39	0.9705749054
40	0.961559891
41	0.9515287374
42	0.9432109873
43	0.9352478697
44	0.9265807191
45	0.9197781469
46	0.9120795651
47	0.9050547838
48	0.899658901
49	0.89388953
50	0.8871914935
51	0.8797754544
52	0.8741867378
53	0.8694052739
54	0.8643741514
55	0.8586693982
56	0.8538764064
57	0.8483629084
58	0.8435720691
59	0.8389764317
60	0.8345040473
61	0.830385322
62	0.8265265647
63	0.8224412852
64	0.8190258458
65	0.8147163316
66	0.8117906758
67	0.8090641613
68	0.806409514
69	0.8029511204
70	0.8006628769
71	0.7980469709
72	0.7954504249
73	0.7921292882
74	0.7896115114
75	0.7863209908
76	0.7839916452
77	0.780369694
78	0.7782430527
79	0.7755389961
80	0.7739158142
81	0.7714682985
82	0.7688588696
83	0.7672036487
84	0.7645391485
85	0.7630685778
86	0.7610898704
87	0.7586484932
88	0.7567831609
89	0.7549289314
90	0.7528842458
91	0.7511655814
92	0.7491549834
93	0.7477559222
94	0.7463440314
95	0.7448041353
96	0.7435794985
97	0.7414448473
98	0.7402891408
99	0.7391623493
100	0.7381157121
101	0.7368391314
102	0.7348951443
103	0.733557225
104	0.7326843029
105	0.7307064662
106	0.7296260661
107	0.7280769193
108	0.7267260628
109	0.7246077055
110	0.7228611604
111	0.7219591196
112	0.7207070658
113	0.7193780043
114	0.7185637695
115	0.7176547802
116	0.7166520918
117	0.7151801915
118	0.7145966918
119	0.7140176145
120	0.7129781262
121	0.7124665404
122	0.7115672543
123	0.7108957847
124	0.7096707835
125	0.7090111324
126	0.707185027
127	0.7057129937
128	0.7050860673
129	0.70441642
130	0.7038611302
131	0.7033840454
132	0.7026718089
133	0.7015922495
134	0.7005806023
135	0.6991545225
136	0.698206316
137	0.6974423506
138	0.6963054101
139	0.695081397
140	0.6945504655
141	0.6934518733
142	0.6927843587
143	0.6923982295
144	0.6912367557
145	0.6908837918
146	0.6897019293
147	0.6892796781
148	0.6890004658
149	0.6880042344
150	0.6872383506
151	0.6861955535
152	0.6850329924
153	0.6838614946
154	0.6834526409
155	0.6831161161
156	0.6820582149
157	0.6811114195
158	0.6804165487
159	0.6791050167
160	0.6786130016
161	0.677687904
162	0.6768670879
163	0.6759945327
164	0.6752869014
165	0.6745164907
166	0.6737449799
167	0.6727617062
168	0.6725145975
169	0.6716854344
170	0.6708786897
171	0.670567204
172	0.6704602595
173	0.6695235864
174	0.669061761
175	0.66847321
176	0.6674690022
177	0.6668220794
178	0.6657585725
179	0.6651014362
180	0.6646663412
181	0.6638138175
182	0.6630245385
183	0.6625308954
184	0.6614707796
185	0.6612043148
186	0.6603864623
187	0.6592570736
188	0.6588883014
189	0.658332213
190	0.6580795885
191	0.6576938976
192	0.6572236407
193	0.6569008851
194	0.6565338808
195	0.6558013672
196	0.6549525879
197	0.6543476429
198	0.6534075598
199	0.6523706548
200	0.6518908568
201	0.6515531374
202	0.6507579657
203	0.6501894152
204	0.6496814593
205	0.6492015603
206	0.6486138513
207	0.6479159484
208	0.6470995206
209	0.6466459062
210	0.6460094653
211	0.645709762
212	0.6454991387
213	0.6442794407
214	0.6440679313
215	0.643671306
216	0.6433815867
217	0.6430170137
218	0.6428027087
219	0.6424695875
220	0.641806058
221	0.6416577854
222	0.6413698501
223	0.6405126493
224	0.6402895382
225	0.6400801642
226	0.6393936725
227	0.6391447408
228	0.6378943331
229	0.6376234541
230	0.6374388027
231	0.6371707379
232	0.6369586084
233	0.6367197766
234	0.6365490054
235	0.6358699865
236	0.6353948412
237	0.6349639924
238	0.6340538261
239	0.6337492779
240	0.6335189799
241	0.6317262132
242	0.6309105815
243	0.6302525027
244	0.6300287227
245	0.6293774364
246	0.6289950564
247	0.6282963537
248	0.6271398637
249	0.6267609312
250	0.626273898
251	0.6259608294
252	0.6249972395
253	0.6247896833
254	0.6244875946
255	0.624232188
256	0.6239599967
257	0.6230983008
258	0.6221113682
259	0.6217734435
260	0.6214865982
261	0.6209816432
262	0.6205306192
263	0.6202554574
264	0.6197204538
265	0.6192653203
266	0.618644774
267	0.6183701101
268	0.6180673851
269	0.617577988
270	0.6164100103
271	0.6157548563
272	0.6153043641
273	0.6150095981
274	0.6147924551
275	0.6145210641
276	0.613967002
277	0.6133625638
278	0.613103339
279	0.6126265466
280	0.61157142
281	0.6112840124
282	0.6107745035
283	0.6099367792
284	0.6098073044
285	0.60902964
286	0.6088389447
287	0.6085515372
288	0.6082283439
289	0.6074097928
290	0.6067796715
291	0.6065597743
292	0.6057542242
293	0.604895526
294	0.6046105066
295	0.6038890081
296	0.6035853728
