iter	Passed	Remaining
0	115	115156
1	122	61349
2	130	43512
3	137	34325
4	218	43382
5	223	36947
6	227	32330
7	231	28720
8	239	26419
9	454	44946
10	458	41199
11	468	38599
12	473	35957
13	480	33819
14	489	32115
15	493	30354
16	497	28773
17	501	27360
18	505	26096
19	509	24957
20	512	23892
21	515	22912
22	518	22017
23	521	21210
24	524	20459
25	527	19770
26	537	19374
27	546	18971
28	550	18447
29	555	17971
30	560	17511
31	563	17059
32	567	16635
33	571	16227
34	574	15834
35	577	15464
36	581	15129
37	585	14810
38	588	14491
39	591	14191
40	595	13918
41	615	14042
42	618	13770
43	621	13507
44	624	13254
45	627	13014
46	630	12780
47	633	12557
48	636	12343
49	638	12136
50	641	11943
51	644	11752
52	647	11577
53	650	11402
54	653	11229
55	656	11064
56	666	11024
57	670	10887
58	673	10743
59	677	10608
60	681	10488
61	684	10352
62	687	10219
63	691	10107
64	695	9999
65	699	9898
66	702	9788
67	706	9689
68	711	9597
69	714	9490
70	717	9390
71	720	9287
72	724	9198
73	728	9115
74	732	9033
75	735	8946
76	739	8863
77	742	8777
78	748	8724
79	751	8647
80	755	8570
81	758	8493
82	761	8414
83	764	8341
84	768	8267
85	771	8204
86	774	8131
87	778	8064
88	781	7996
89	783	7926
90	786	7860
91	789	7796
92	792	7729
93	795	7664
94	798	7603
95	802	7555
96	805	7500
97	808	7442
98	811	7387
99	814	7334
100	818	7282
101	821	7231
102	824	7177
103	828	7138
104	832	7098
105	835	7050
106	838	7001
107	841	6949
108	844	6900
109	847	6859
110	850	6813
111	853	6766
112	856	6722
113	859	6678
114	862	6638
115	865	6594
116	868	6552
117	870	6509
118	873	6466
119	876	6425
120	878	6383
121	881	6342
122	883	6301
123	886	6261
124	889	6223
125	891	6184
126	894	6147
127	897	6112
128	900	6077
129	902	6040
130	905	6005
131	907	5969
132	910	5934
133	913	5901
134	915	5868
135	918	5837
136	921	5805
137	924	5773
138	926	5741
139	929	5711
140	932	5681
141	935	5652
142	938	5623
143	941	5596
144	944	5569
145	947	5541
146	950	5514
147	953	5489
148	956	5460
149	959	5436
150	962	5410
151	965	5383
152	967	5356
153	971	5334
154	973	5308
155	976	5281
156	979	5256
157	981	5232
158	984	5207
159	987	5183
160	990	5160
161	992	5136
162	995	5112
163	998	5089
164	1000	5065
165	1003	5042
166	1006	5021
167	1009	4999
168	1012	4978
169	1015	4959
170	1018	4937
171	1021	4915
172	1022	4886
173	1025	4865
174	1028	4846
175	1031	4828
176	1034	4809
177	1037	4791
178	1040	4773
179	1043	4755
180	1046	4736
181	1049	4717
182	1052	4697
183	1054	4677
184	1057	4659
185	1060	4640
186	1063	4623
187	1066	4606
188	1069	4589
189	1072	4570
190	1074	4553
191	1077	4532
192	1079	4515
193	1082	4498
194	1085	4480
195	1087	4461
196	1090	4443
197	1093	4427
198	1095	4409
199	1098	4393
200	1100	4375
201	1103	4360
202	1107	4347
203	1110	4331
204	1113	4316
205	1115	4300
206	1118	4285
207	1121	4270
208	1124	4257
